1 16613U          86053.07627914 -.00000008  00000+0  00000+0 0    05
1 16613U 86019A   86111.91311677  .00000325  00000-0  16093-3 0   783
2 16613  98.7263 187.1618 0001799 121.9524 238.2205 14.20024317  8358
1 16613U 86019A   86112.97002508  .00000324  00000-0  16092-3 0   799
2 16613  98.7273 188.2055 0001892 120.9365 239.2028 14.20024070  8509
1 16613U 86019A   86113.67463467  .00000325  00000-0  16092-3 0   805
2 16613  98.7135 188.9045 0001802 110.5793 249.5647 14.20024105  8604
1 16613U 86019A   86113.95647747  .00000325  00000-0  16092-3 0   812
2 16613  98.7258 189.1760 0002285 115.0685 245.0580 14.20018817  8647
1 16613U 86019A   86114.94293826  .00000325  00000-0  16092-3 0   839
2 16613  98.7264 190.1509 0001999 120.2047 239.9607 14.20024329  8780
1 16613U 86019A   86116.07030880  .00000325  00000-0  16092-3 0   845
2 16613  98.7263 191.2625 0001952 119.6062 240.5299 14.20024228  8949
1 16613U 86019A   86116.98630212  .00000401  00000-0  19662-3 0   852
2 16613  98.7263 192.1658 0001984 119.0363 241.1007 14.20024501  9071
1 16613U 86019A   86118.88874964  .00000212  00000-0  10778-3 0   889
2 16613  98.7261 194.0419 0001999 113.8146 246.3331 14.20025732  9346
1 16613U 86019A   86119.87520099  .00000211  00000-0  10778-3 0   896
2 16613  98.7253 195.0158 0002042 113.8416 246.2948 14.20025145  9484
1 16613U 86019A   86120.93211603  .00000212  00000-0  10778-3 0   906
2 16613  98.7253 196.0577 0002042 110.8007 249.3389 14.20025629  9630
1 16613U 86019A   86121.91856924  .00000211  00000-0  10778-3 0   927
2 16613  98.7253 197.0302 0002043 107.9624 252.1775 14.20026081  9779
1 16613U 86019A   86122.90502213  .00000001  00000-0  47670-5 0   937
2 16613  98.7255 198.0038 0002017 105.6536 254.4772 14.20024949  9915
1 16613U 86019A   86123.89147772  .00000120  00000-0  60812-4 0   946
2 16613  98.7255 198.9770 0002033 105.7714 254.3738 14.20025710 10059
1 16613U 86019A   86124.87792991  .00000109  00000-0  55421-4 0   952
2 16613  98.7257 199.9500 0002043 105.0923 255.0498 14.20025994 10199
1 16613U 86019A   86125.93484348  .00001524  00000-0  72458-3 0   965
2 16613  98.7242 200.9908 0002279 109.5715 250.5625 14.20022617 10345
1 16613U 86019A   86126.85083034  .00144383  00000-0  67847-1 0   970
2 16613  98.7257 201.8949 0002207 102.7583 257.3453 14.20043257 10476
1 16613U 86019A   86127.48493734  .00079791  00000-0  37494-1 0   988
2 16613  98.7254 202.5220 0001956  94.2811 265.6191 14.20050178 10563
1 16613U 86019A   86127.76681876  .00041135  00000-0  19347-1 0   994
2 16613  98.7241 202.8005 0001834  94.9930 265.0914 14.20012214 10608
1 16613U 86019A   86128.61234803  .00041161  00000-0  19347-1 0  1005
2 16613  98.7271 203.6329 0001979  96.8386 263.2522 14.20045741 10724
1 16613U 86019A   86128.89419520  .00041167  00000-0  19347-1 0  1013
2 16613  98.7272 203.9131 0002231  97.7005 262.4063 14.20052950 10764
1 16613U 86019A   86129.24649667  .00041153  00000-0  19347-1 0  1026
2 16613  98.7250 204.2606 0002258  99.6519 260.4420 14.20036103 10814
1 16613U 86019A   86129.88063856  .00002110  00000-0  99999-3 0  1030
2 16613  98.7253 204.8839 0002109 102.5345 257.5182 14.20025484 10909
1 16613U 86019A   86130.86710786  .00002109  00000-0  99999-3 0  1040
